zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
80799,14332,48.152022952125,11.575893282615,urban,0,,
80801,9770,48.158732267428,11.578002793781,urban,0,,
80802,9867,48.15997671067,11.591294364885,urban,0,,
80803,9942,48.164231857157,11.580360870876,urban,0,,
80804,15295,48.172500770955,11.577155271113,urban,0,,
80805,18612,48.172652851612,11.604983843024,urban,0,,
80807,26946,48.18404102855,11.585470428758,urban,0,,
80809,22342,48.180068295265,11.552796913931,urban,0,,
80933,19280,48.216185174214,11.55737620947,urban,0,,
80935,13536,48.198786605595,11.553302379757,urban,0,,
80937,22195,48.210473173485,11.573850579136,urban,0,,
80939,27106,48.204051299176,11.616982149276,urban,604395,48.191373639461,11.599796537468
80992,22025,48.175471177123,11.522305218389,urban,0,,
80993,17134,48.186494926772,11.518847987311,urban,0,,
80995,25458,48.216187299723,11.514544594251,urban,591044,48.202904012731,11.543074857734
80997,23996,48.190818607904,11.482841069255,urban,580769,48.192851524152,11.492493707643
80999,15679,48.1912729787,11.451882314658,urban,0,,
81241,22070,48.139596154347,11.465508206407,urban,0,,
81243,20195,48.146236045236,11.436537409405,urban,0,,
81245,26900,48.164084515955,11.438674353689,urban,544656,48.171262418097,11.438145538746
81247,17264,48.16662011117,11.470402872867,urban,0,,
81249,18643,48.170468025681,11.397143534187,urban,0,,
81369,24626,48.11037136525,11.530248426695,urban,0,,
81371,24376,48.11527706836,11.547616001053,urban,704718,48.108682211234,11.544839318927
81373,25686,48.123705371303,11.530773692533,urban,0,,
81375,24159,48.118755469972,11.485250225973,urban,0,,
81377,25636,48.104910210952,11.485696756028,urban,593503,48.103750195312,11.476265285673
81379,25144,48.097241277292,11.528901171983,urban,0,,
81475,15941,48.088659630951,11.482323254743,urban,0,,
81476,16039,48.088114753222,11.495698025995,urban,0,,
81477,14961,48.084794027853,11.509202991035,urban,0,,
81479,16051,48.077962253631,11.52308612779,urban,0,,
81539,26887,48.110711663394,11.587835273366,urban,0,,
81541,26466,48.120311343851,11.586273731561,urban,0,,
81543,21103,48.113875355429,11.566522822986,urban,0,,
81545,13316,48.089155420977,11.558434094004,urban,0,,
81547,18749,48.100577961241,11.576755545018,urban,0,,
81549,25987,48.09776003659,11.601246898067,urban,0,,
81667,18059,48.129056710839,11.601463083857,urban,0,,
81669,17869,48.114460769656,11.608230413091,urban,0,,
81671,18976,48.121491569683,11.615207176215,urban,0,,
81673,23905,48.128282534581,11.631466216985,urban,0,,
81675,12443,48.139013424993,11.598414725715,urban,0,,
81677,13928,48.140114864649,11.622107720605,urban,687741,48.135369295897,11.619183909097
81679,9665,48.146964769195,11.611224564228,urban,0,,
81735,25096,48.111748980968,11.638192323964,urban,0,,
81737,30001,48.096325607784,11.627098305675,urban,591632,48.088156714831,11.630177633292
81739,24335,48.089019146958,11.669948579367,urban,0,,
81825,27739,48.117798396706,11.660559309889,urban,0,,
81827,23774,48.107803993803,11.68991235363,urban,523781,48.118787582393,11.692049131702
81829,21891,48.133014475277,11.687790768999,urban,0,,
81925,17313,48.161526665867,11.620736573567,urban,0,,
81927,24185,48.161153967641,11.637376627463,urban,0,,
81929,15625,48.162352405098,11.662016629173,urban,586217,48.162662124609,11.64939607851
82008,23351,48.06447277379,11.619120829408,urban,550040,48.072618903594,11.6196038134
82024,18501,48.033922853402,11.63223433674,urban,424784,48.029775830736,11.617141848449
82031,11273,48.047185748791,11.532819909994,urban,423842,48.031572724298,11.519878818458
82041,13071,48.004561926152,11.589495498629,urban,422278,48.027784621936,11.588158031024
82049,9198,48.055311605473,11.516232835143,urban,445973,48.04182290035,11.508832840777
82054,7543,47.960536276335,11.635596405377,urban,302040,47.966871401798,11.66260142846
82057,3767,47.946453552554,11.421342023586,urban,288679,47.951335025285,11.435506554838
82061,8813,48.055353894678,11.452681786988,urban,564429,48.095861354784,11.47187938662
82064,3397,47.998125476544,11.513885450663,urban,0,,
82065,2972,48.018052856421,11.478440599592,urban,403309,48.027539436303,11.492960932853
82067,2217,47.97445715992,11.463680672977,urban,0,,
82069,3336,47.997347043828,11.438139724242,urban,329853,47.991337172116,11.450664243674
82110,39855,48.134140557861,11.365609166639,urban,449041,48.129869740436,11.36559920215
82131,20399,48.062147459213,11.378011379299,urban,397981,48.065545096084,11.387295071052
